Country or Area,Afghanistan,Year,2014,Value,2069.42464180385,Value Footnotes
Country or Area,Albania,Year,2014,Value,11259.2462059653,Value Footnotes
Country or Area,Algeria,Year,2014,Value,13003.1932289814,Value Footnotes
Country or Area,Angola,Year,2014,Value,8179.29600657648,Value Footnotes
Country or Area,Antigua and Barbuda,Year,2014,Value,19039.0045029811,Value Footnotes
Country or Area,Argentina,Year,2014,Value,19683.7715056442,Value Footnotes
Country or Area,Armenia,Year,2014,Value,10036.8898405952,Value Footnotes
Country or Area,Australia,Year,2014,Value,46880.2206571585,Value Footnotes
Country or Area,Austria,Year,2014,Value,48799.7154676985,Value Footnotes
Country or Area,Azerbaijan,Year,2014,Value,17443.8782563093,Value Footnotes
Country or Area,Bahamas,Year,2014,Value,29980,Value Footnotes
Country or Area,Bahrain,Year,2014,Value,51101.9005266201,Value Footnotes
Country or Area,Bangladesh,Year,2014,Value,3367.99552513598,Value Footnotes
Country or Area,Barbados,Year,2014,Value,15175.4956415237,Value Footnotes
Country or Area,Belarus,Year,2014,Value,18955.907025082,Value Footnotes
Country or Area,Belgium,Year,2014,Value,44929.685593416,Value Footnotes
Country or Area,Belize,Year,2014,Value,7170.52946398798,Value Footnotes
Country or Area,Benin,Year,2014,Value,2833.41192647339,Value Footnotes
Country or Area,Bhutan,Year,2014,Value,8666.41956699771,Value Footnotes
Country or Area,Bolivia,Year,2014,Value,7056.82839007831,Value Footnotes
Country or Area,Bosnia and Herzegovina,Year,2014,Value,11433.162610045,Value Footnotes
Country or Area,Botswana,Year,2014,Value,16300.8371094018,Value Footnotes
Country or Area,Brazil,Year,2014,Value,15718.5656477083,Value Footnotes
Country or Area,Brunei,Year,2014,Value,81373.0180738336,Value Footnotes
Country or Area,Bulgaria,Year,2014,Value,17555.4950407247,Value Footnotes
Country or Area,Burkina Faso,Year,2014,Value,1692.30439694524,Value Footnotes
Country or Area,Burundi,Year,2014,Value,777.041557228105,Value Footnotes
Country or Area,C̫te d'Ivoire,Year,2014,Value,3127.4791681667,Value Footnotes
Country or Area,Cabo Verde,Year,2014,Value,5748.17387420973,Value Footnotes
Country or Area,Cambodia,Year,2014,Value,3185.33689790783,Value Footnotes
Country or Area,Cameroon,Year,2014,Value,3185.3551485686,Value Footnotes
Country or Area,Canada,Year,2014,Value,45753.7505547994,Value Footnotes
